resume_site,position,min_salary,max_salary,currency,resume_url,company_name,place_company
www.hh.ru,Python-разработчик,,,,https://sergievposad.hh.ru/vacancy/46558794?from=vacancy_search_result&query=python,Сбер. IT,Москва
www.hh.ru,Middle Python developer,,,,https://sergievposad.hh.ru/vacancy/44343327?from=vacancy_search_result&query=python,IBA Group,"Минск, Уручье"
www.hh.ru,Back-end Developer (Node/Java/Python),,,,https://sergievposad.hh.ru/vacancy/46222999?from=vacancy_search_result&query=python,Сбер. IT,Москва
www.hh.ru,Backend разработчик на Python / Java в Яндекс. Диск,,,,https://sergievposad.hh.ru/vacancy/46606188?from=vacancy_search_result&query=python,Яндекс,"Москва, Парк культуры и еще 2 "
www.hh.ru,Senior Data Scientist,2800,,USD,https://sergievposad.hh.ru/vacancy/46552746?from=vacancy_search_result&query=python,ИП Таранов Антон Юрьевич,Москва
www.hh.ru,Data engener,,,,https://sergievposad.hh.ru/vacancy/46559439?from=vacancy_search_result&query=python,Сбер. IT,Москва
www.hh.ru,Data-scientist,,,,https://sergievposad.hh.ru/vacancy/44653300?from=vacancy_search_result&query=python,Hyper,"Москва, Улица 1905 года"
www.hh.ru,Senior Data Engineer,,,,https://sergievposad.hh.ru/vacancy/46571003?from=vacancy_search_result&query=python,Specific-Group,Минск
www.hh.ru,Junior Python developer (в Сочи),65000,,руб.,https://sergievposad.hh.ru/vacancy/45849649?from=vacancy_search_result&query=python,"ООО Привет, Интернет",Сочи
www.hh.ru,Junior Python Developer (Начинающий разработчик Python),30000,60000,руб.,https://sergievposad.hh.ru/vacancy/46525324?from=vacancy_search_result&query=python,ООО Гексагон,"Москва, Тульская"
www.hh.ru,Junior разработчик Python Django,40000,80000,руб.,https://sergievposad.hh.ru/vacancy/45517979?from=vacancy_search_result&query=python,ООО Инсейлс Рус,"Москва, Комсомольская"
www.hh.ru,Python developer / data engineer (Jun->Mid),120000,150000,руб.,https://sergievposad.hh.ru/vacancy/46392030?from=vacancy_search_result&query=python,Wunder Fund,Москва
www.hh.ru,Junior Python Developer,,,,https://sergievposad.hh.ru/vacancy/46629994?from=vacancy_search_result&query=python,QIWI,"Москва, Чертановская"
www.hh.ru,"Junior программист python, django, удалённо",,,,https://sergievposad.hh.ru/vacancy/46442719?from=vacancy_search_result&query=python,KIAN,Барнаул
www.hh.ru,Python Backend Developer (FastAPI),100000,250000,руб.,https://sergievposad.hh.ru/vacancy/46451141?from=vacancy_search_result&query=python,Plutoview,Москва
www.hh.ru,Программист Python,,350000,руб.,https://sergievposad.hh.ru/vacancy/46314108?from=vacancy_search_result&query=python,ООО УРОВЕНЬ,Москва
www.hh.ru,Разработчик Python,200000,230000,руб.,https://sergievposad.hh.ru/vacancy/46671423?from=vacancy_search_result&query=python,Kelly Services,"Москва, Тульская"
www.hh.ru,Middle QA Automation Engineer (Python),180000,250000,руб.,https://sergievposad.hh.ru/vacancy/43394113?from=vacancy_search_result&query=python,Scalable Solutions,Москва
www.hh.ru,Python-разработчик,200000,250000,руб.,https://sergievposad.hh.ru/vacancy/45309802?from=vacancy_search_result&query=python,ivi,"Москва, Дмитровская"
www.hh.ru,Python разработчик,250000,,руб.,https://sergievposad.hh.ru/vacancy/46314277?from=vacancy_search_result&query=python,ООО МОНСТР,"Москва, Курская"
